id,query,language,difficulty,semantic_cluster_id,profile_id,evaluation_k,returned_count,relevant_count,relevance_at_k,distinct_relevant_style_count,distinct_relevant_layout_count,style_entropy_nats,effective_style_count,relevant_effective_style_count,relevant_template_ids,predicted_template_ids,style_distribution,layout_distribution,abstained
vir-v2-exploration-001,围绕兼具知识性和灵感感的银杏视觉故事探索三个不同的视觉方向，先不要固定成一种风格。,zh,medium,vir-v2-exploration-ginkgo-visual-story,ginkgo-visual-story,3,0,0,0,0,0,0,0,0,[],[],{},{},true
vir-v2-exploration-002,围绕面向初次到访者的陕西剪纸文化体验探索三个不同的视觉方向，先不要固定成一种风格。,zh,medium,vir-v2-exploration-shaanxi-paper-cutting-visit,shaanxi-paper-cutting-visit,3,0,0,0,0,0,0,0,0,[],[],{},{},true
vir-v2-exploration-003,围绕面向年轻人的治愈阅读世界，要有氛围也有实用内容探索三个不同的视觉方向，先不要固定成一种风格。,zh,medium,vir-v2-exploration-cozy-reading-world,cozy-reading-world,3,0,0,0,0,0,0,0,0,[],[],{},{},true
vir-v2-exploration-004,围绕以香薰机为核心的平静家居香氛发布主题探索三个不同的视觉方向，先不要固定成一种风格。,zh,medium,vir-v2-exploration-home-fragrance-launch,home-fragrance-launch,3,0,0,0,0,0,0,0,0,[],[],{},{},true
vir-v2-exploration-005,围绕聚焦人物性格和关系互动的漫威角色世界探索三个不同的视觉方向，先不要固定成一种风格。,zh,medium,vir-v2-exploration-marvel-personality-world,marvel-personality-world,3,0,0,0,0,0,0,0,0,[],[],{},{},true
vir-v2-exploration-006,围绕面向初学者的英语同音词和易混词学习主题探索三个不同的视觉方向，先不要固定成一种风格。,zh,medium,vir-v2-exploration-homophone-learning-campaign,homophone-learning-campaign,3,0,0,0,0,0,0,0,0,[],[],{},{},true
vir-v2-exploration-007,围绕面向第一次了解古巴三明治的人做一组视觉故事探索三个不同的视觉方向，先不要固定成一种风格。,zh,medium,vir-v2-exploration-cuban-sandwich-story,cuban-sandwich-story,3,0,0,0,0,0,0,0,0,[],[],{},{},true
vir-v2-exploration-008,围绕帮助旅行者发现京都传统工艺的旅行主题探索三个不同的视觉方向，先不要固定成一种风格。,zh,medium,vir-v2-exploration-kyoto-craft-trip,kyoto-craft-trip,3,0,0,0,0,0,0,0,0,[],[],{},{},true
vir-v2-exploration-009,围绕从植物故事延伸到配色、材质和高定设计的兰花视觉世界探索三个不同的视觉方向，先不要固定成一种风格。,zh,medium,vir-v2-exploration-orchid-inspiration-system,orchid-inspiration-system,3,0,0,0,0,0,0,0,0,[],[],{},{},true
vir-v2-exploration-010,围绕吉伊卡哇主题的治愈阅读空间和生活方式创意探索三个不同的视觉方向，先不要固定成一种风格。,zh,medium,vir-v2-exploration-chiikawa-reading-space,chiikawa-reading-space,3,0,0,0,0,0,0,0,0,[],[],{},{},true
