dimension,value,count,correct,exact_accuracy,ci_lower,ci_upper,abstention_rate,error_rate
template,__none__,81,81,1,0.9547219144978831,1,1,0
template,template-education-card,51,9,0.17647058823529413,0.09572403464399162,0.30254142535831485,0.6470588235294118,0
template,template-english-grammar-wordlist-infographic,46,14,0.30434782608695654,0.19079840795308842,0.44805646460354176,0.5217391304347826,0
template,template-fandom-character-grid-poster,50,14,0.28,0.17474170659053337,0.4166512370751516,0.62,0
template,template-fashion-inspired-gown-design-sheet,31,6,0.1935483870967742,0.09187008356111664,0.36280257826964596,0.8064516129032258,0
template,template-figure-principles-infographic,42,17,0.40476190476190477,0.2704286113811525,0.5550568726168474,0.5476190476190477,0
template,template-intangible-heritage,42,10,0.23809523809523808,0.13480964218354966,0.38527543881095017,0.6666666666666666,0
template,template-interior-design-mood-board-generator,53,12,0.22641509433962265,0.13454631004525303,0.3552627026276958,0.660377358490566,0
template,template-lifestyle-watercolor-infographic,51,14,0.27450980392156865,0.17114275227922304,0.4094665077223846,0.6078431372549019,0
template,template-mbti-generic,49,15,0.30612244897959184,0.19515491260645595,0.44527893570486426,0.6122448979591837,0
template,template-mbti-personality-compatibility-infographic,43,13,0.3023255813953488,0.18602000128293505,0.4510536419008341,0.5581395348837209,0
template,template-product-poster,48,12,0.25,0.14920633667442115,0.38784372821395097,0.7083333333333334,0
template,template-recipe,43,10,0.23255813953488372,0.13153678473241648,0.3774452031044476,0.6976744186046512,0
template,template-species-science,58,18,0.3103448275862069,0.20622095615746233,0.43803064434917754,0.5862068965517241,0
template,template-travel,36,10,0.2777777777777778,0.15848337932767506,0.43992490011007646,0.6666666666666666,0
template,template-vocabulary,50,19,0.38,0.25862789301705374,0.5184955308005925,0.5,0
subject,English confusing word relationships + identity portrait,1,0,0,5.551115123125783e-17,0.7934506858870163,0,0
subject,English confusing word relationships + language vocabulary on a chosen topic,3,0,0,0,0.561497032152052,0,0
subject,English confusing word relationships | language vocabulary on a chosen topic,4,0,0,0,0.4898908368575371,1,0
subject,MBTI types or MBTI-mapped character set + identity portrait,1,0,0,5.551115123125783e-17,0.7934506858870163,0,0
subject,MBTI types or MBTI-mapped character set + pair of MBTI personality types,3,0,0,0,0.561497032152052,0,0
subject,MBTI types or MBTI-mapped character set | pair of MBTI personality types,3,0,0,0,0.561497032152052,1,0
subject,character,31,5,0.16129032258064516,0.07092624438778772,0.32634353974095,0.8387096774193549,0
subject,content-gap,81,81,1,0.9547219144978831,1,1,0
subject,cozy everyday lifestyle + identity portrait,1,0,0,5.551115123125783e-17,0.7934506858870163,0,0
subject,cozy everyday lifestyle + single plant or animal species,4,0,0,0,0.4898908368575371,1,0
subject,cozy everyday lifestyle + small home or lifestyle product,2,0,0,0,0.6576197728563925,0,0
subject,cozy everyday lifestyle | single plant or animal species,3,3,1,0.43850296784794796,1,0,0
subject,cozy everyday lifestyle | small home or lifestyle product,3,0,0,0,0.561497032152052,1,0
subject,culture,31,7,0.22580645161290322,0.11395135554946056,0.39812418398332705,0.7741935483870968,0
subject,design,31,4,0.12903225806451613,0.05134284370978358,0.2885240627169291,0.8709677419354839,0
subject,fandom or themed character ensemble + MBTI types or MBTI-mapped character set,3,0,0,0,0.561497032152052,1,0
subject,fandom or themed character ensemble + identity portrait,2,0,0,0,0.6576197728563925,1,0
subject,fandom or themed character ensemble + pair of MBTI personality types,3,0,0,0,0.561497032152052,0,0
subject,fandom or themed character ensemble + single famous or historical person,2,0,0,0,0.6576197728563925,0,0
subject,fandom or themed character ensemble | MBTI types or MBTI-mapped character set,3,3,1,0.43850296784794796,1,0,0
subject,fandom or themed character ensemble | pair of MBTI personality types,3,3,1,0.43850296784794796,1,0,0
subject,fandom or themed character ensemble | single famous or historical person,3,3,1,0.43850296784794796,1,0,0
subject,fashion,31,6,0.1935483870967742,0.09187008356111664,0.36280257826964596,0.8064516129032258,0
subject,food,31,4,0.12903225806451613,0.05134284370978358,0.2885240627169291,0.8709677419354839,0
subject,general educational topic + English confusing word relationships,3,0,0,0,0.561497032152052,0,0
subject,general educational topic + identity portrait,2,0,0,0,0.6576197728563925,0.5,0
subject,general educational topic + single plant or animal species,3,0,0,0,0.561497032152052,0,0
subject,general educational topic + traditional heritage craft,2,0,0,0,0.6576197728563925,0,0
subject,general educational topic | English confusing word relationships,4,4,1,0.5101091631424628,1,0,0
subject,general educational topic | single plant or animal species,3,0,0,0,0.561497032152052,1,0
subject,general educational topic | traditional heritage craft,3,0,0,0,0.561497032152052,1,0
subject,history,31,11,0.3548387096774194,0.211166590845925,0.5305204594949626,0.6451612903225806,0
subject,interior space design + cozy everyday lifestyle,3,0,0,0,0.561497032152052,0,0
subject,interior space design + identity portrait,2,0,0,0,0.6576197728563925,1,0
subject,interior space design + single plant or animal species,3,0,0,0,0.561497032152052,0,0
subject,interior space design + small home or lifestyle product,2,0,0,0,0.6576197728563925,1,0
subject,interior space design | cozy everyday lifestyle,4,0,0,0,0.4898908368575371,1,0
subject,interior space design | single plant or animal species,4,4,1,0.5101091631424628,1,0,0
subject,interior space design | small home or lifestyle product,4,4,1,0.5101091631424628,1,0,0
subject,language,31,10,0.3225806451612903,0.18569426557767774,0.4985899070611848,0.6451612903225806,0
subject,learning,31,5,0.16129032258064516,0.07092624438778772,0.32634353974095,0.8387096774193549,0
subject,lifestyle,31,11,0.3548387096774194,0.211166590845925,0.5305204594949626,0.6451612903225806,0
subject,mbti,31,9,0.2903225806451613,0.16095800148427922,0.46592329345255845,0.7096774193548387,0
