id,query,language,difficulty,partition,challenge_type,source_seed_id,semantic_cluster_id,transformation_types,ontology,target_mode,targets,acceptable_target_sets,validation_status,deterministic_issues,catalog_collision,reviewer_decision,reviewer_notes
vir-v2-core-vir-s01-21,Need English-Spanish fruits，信息要一眼扫懂但别做成 generic poster，竖版 pls,mixed,high,core,,vir-s01,vir-v2-vir-s01-cluster-01,"[""implicit_intent"",""code_switch"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""language vocabulary on a chosen topic"",""information_type"":""bilingual vocabulary learning"",""style_layout"":""illustrated card grid or visual guide""}",single,"[""template-vocabulary""]",[],needs_review,[],,,
vir-v2-core-vir-s01-22,英韩厨房用品词汇，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s01,vir-v2-vir-s01-cluster-02,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""language vocabulary on a chosen topic"",""information_type"":""bilingual vocabulary learning"",""style_layout"":""illustrated card grid or visual guide""}",single,"[""template-vocabulary""]",[],needs_review,[],,,
vir-v2-core-vir-s01-23,"English-Japanese weather words — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s01,vir-v2-vir-s01-cluster-03,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""language vocabulary on a chosen topic"",""information_type"":""bilingual vocabulary learning"",""style_layout"":""illustrated card grid or visual guide""}",single,"[""template-vocabulary""]",[],needs_review,[],,,
vir-v2-core-vir-s01-24,中英农场动物词汇，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s01,vir-v2-vir-s01-cluster-04,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""language vocabulary on a chosen topic"",""information_type"":""bilingual vocabulary learning"",""style_layout"":""illustrated card grid or visual guide""}",single,"[""template-vocabulary""]",[],needs_review,[],,,
vir-v2-core-vir-s01-25,"English-French daily routines — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s01,vir-v2-vir-s01-cluster-05,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""language vocabulary on a chosen topic"",""information_type"":""bilingual vocabulary learning"",""style_layout"":""illustrated card grid or visual guide""}",single,"[""template-vocabulary""]",[],needs_review,[],,,
vir-v2-core-vir-s01-26,Need English-Chinese space terms，信息要一眼扫懂但别做成 generic poster，竖版 pls,mixed,high,core,,vir-s01,vir-v2-vir-s01-cluster-06,"[""implicit_intent"",""code_switch"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""language vocabulary on a chosen topic"",""information_type"":""bilingual vocabulary learning"",""style_layout"":""illustrated card grid or visual guide""}",single,"[""template-vocabulary""]",[],needs_review,[],,,
vir-v2-core-vir-s01-27,英西身体部位词汇，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s01,vir-v2-vir-s01-cluster-07,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""language vocabulary on a chosen topic"",""information_type"":""bilingual vocabulary learning"",""style_layout"":""illustrated card grid or visual guide""}",single,"[""template-vocabulary""]",[],needs_review,[],,,
vir-v2-core-vir-s01-28,"Engish-Korean desserts — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s01,vir-v2-vir-s01-cluster-08,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""language vocabulary on a chosen topic"",""information_type"":""bilingual vocabulary learning"",""style_layout"":""illustrated card grid or visual guide""}",single,"[""template-vocabulary""]",[],needs_review,[],,,
vir-v2-core-vir-s01-29,英日交通工具词汇，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s01,vir-v2-vir-s01-cluster-09,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""language vocabulary on a chosen topic"",""information_type"":""bilingual vocabulary learning"",""style_layout"":""illustrated card grid or visual guide""}",single,"[""template-vocabulary""]",[],needs_review,[],,,
vir-v2-core-vir-s01-30,"Engish-Chinese musical instruments — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s01,vir-v2-vir-s01-cluster-10,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""language vocabulary on a chosen topic"",""information_type"":""bilingual vocabulary learning"",""style_layout"":""illustrated card grid or visual guide""}",single,"[""template-vocabulary""]",[],needs_review,[],,,
vir-v2-core-vir-s02-21,Need common homophones for beginners，信息要一眼扫懂但别做成 generic poster，竖版 pls,mixed,high,core,,vir-s02,vir-v2-vir-s02-cluster-01,"[""implicit_intent"",""code_switch"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""English confusing word relationships"",""information_type"":""definition and distinction"",""style_layout"":""boxed educational word-list infographic""}",single,"[""template-english-grammar-wordlist-infographic""]",[],needs_review,[],,,
vir-v2-core-vir-s02-22,带简短释义的英语同形同音词，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s02,vir-v2-vir-s02-cluster-02,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""English confusing word relationships"",""information_type"":""definition and distinction"",""style_layout"":""boxed educational word-list infographic""}",single,"[""template-english-grammar-wordlist-infographic""]",[],needs_review,[],,,
vir-v2-core-vir-s02-23,"there their and they're — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s02,vir-v2-vir-s02-cluster-03,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""English confusing word relationships"",""information_type"":""definition and distinction"",""style_layout"":""boxed educational word-list infographic""}",single,"[""template-english-grammar-wordlist-infographic""]",[],needs_review,[],,,
vir-v2-core-vir-s02-24,sea 和 see 这类同音词，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s02,vir-v2-vir-s02-cluster-04,"[""implicit_intent"",""underspecified"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""English confusing word relationships"",""information_type"":""definition and distinction"",""style_layout"":""boxed educational word-list infographic""}",single,"[""template-english-grammar-wordlist-infographic""]",[],needs_review,[],,,
vir-v2-core-vir-s02-25,"tricky homophones for grade five — make the subject, key details, and visual organization instantly scannable; informal tone, 4:5 pls",en,high,core,,vir-s02,vir-v2-vir-s02-cluster-05,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""English confusing word relationships"",""information_type"":""definition and distinction"",""style_layout"":""boxed educational word-list infographic""}",single,"[""template-english-grammar-wordlist-infographic""]",[],needs_review,[],,,
vir-v2-core-vir-s02-26,Need English words with two meanings，信息要一眼扫懂但别做成 generic poster，竖版 pls,mixed,high,core,,vir-s02,vir-v2-vir-s02-cluster-06,"[""implicit_intent"",""code_switch"",""typo_noise"",""boundary_nearby""]","{""subject_event"":""English confusing word relationships"",""information_type"":""definition and distinction"",""style_layout"":""boxed educational word-list infographic""}",single,"[""template-english-grammar-wordlist-infographic""]",[],needs_review,[],,,
vir-v2-core-vir-s02-27,20 组课堂英语同音异义词，想做成一眼能看懂的竖版视觉，给新手看，别太学术哈,zh,high,core,,vir-s02,vir-v2-vir-s02-cluster-07,"[""implicit_intent"",""underspecified"",""layout_modifier"",""boundary_nearby""]","{""subject_event"":""English confusing word relationships"",""information_type"":""definition and distinction"",""style_layout"":""boxed educational word-list infographic""}",single,"[""template-english-grammar-wordlist-infographic""]",[],needs_review,[],,,
