id,query,language,difficulty,transformation_types,ontology,gold_mode,gold_targets,acceptable_target_sets,predicted_ranking,confidence,closest_competing_template,source_seed_id,validation_status,partition,challenge_type,abstained,system_error
vir-v2-anchor-vir-s01,单词,zh,high,"[""manual_anchor""]","{""subject_event"":""language vocabulary on a chosen topic"",""information_type"":""bilingual vocabulary learning"",""style_layout"":""illustrated card grid or visual guide""}",single,"[""template-vocabulary""]",[],[],0,template-education-card,vir-s01,approved,core,,true,
vir-v2-anchor-vir-s02,homophones and homonyms,en,medium,"[""manual_anchor""]","{""subject_event"":""English confusing word relationships"",""information_type"":""definition and distinction"",""style_layout"":""boxed educational word-list infographic""}",single,"[""template-english-grammar-wordlist-infographic""]",[],[],0.036649,template-english-grammar-wordlist-infographic,vir-s02,approved,core,,true,
vir-v2-anchor-vir-s03,家居装饰,zh,medium,"[""manual_anchor""]","{""subject_event"":""interior space design"",""information_type"":""style and material inspiration"",""style_layout"":""interior mood board""}",single,"[""template-interior-design-mood-board-generator""]",[],[],0,template-education-card,vir-s03,approved,core,,true,
vir-v2-anchor-vir-s04,趣味经济学知识科普,zh,medium,"[""manual_anchor""]","{""subject_event"":""general educational topic"",""information_type"":""accessible explanation and key facts"",""style_layout"":""modular 3:4 knowledge card infographic""}",single,"[""template-education-card""]",[],[],0.003012,template-education-card,vir-s04,approved,core,,true,
vir-v2-anchor-vir-s05,chiikawa,en,medium,"[""manual_anchor""]","{""subject_event"":""fandom or themed character ensemble"",""information_type"":""character collection and showcase"",""style_layout"":""vertical cinematic character grid poster""}",single,"[""template-fandom-character-grid-poster""]",[],[],0.011864,template-fandom-character-grid-poster,vir-s05,approved,core,,true,
vir-v2-anchor-vir-s06,cozy reading aesthetic,en,medium,"[""manual_anchor""]","{""subject_event"":""cozy everyday lifestyle"",""information_type"":""tips, habits, or aesthetic inspiration"",""style_layout"":""warm watercolor infographic poster""}",single,"[""template-lifestyle-watercolor-infographic""]",[],[],0.042991,template-lifestyle-watercolor-infographic,vir-s06,approved,core,,true,
vir-v2-anchor-vir-s07,remote destination,en,high,"[""manual_anchor""]","{""subject_event"":""destination trip"",""information_type"":""itinerary and route planning"",""style_layout"":""cute hand-drawn map with daily blocks""}",single,"[""template-travel""]",[],[],0.031359,template-travel,vir-s07,approved,core,,true,
vir-v2-anchor-vir-s08,paper cutting,en,medium,"[""manual_anchor""]","{""subject_event"":""traditional heritage craft"",""information_type"":""history, process, meaning, and preservation"",""style_layout"":""dense A3 heritage information board""}",single,"[""template-intangible-heritage""]",[],[],0.023009,template-intangible-heritage,vir-s08,approved,core,,true,
vir-v2-anchor-vir-s09,cuban sandwich recipe poster,en,low,"[""manual_anchor""]","{""subject_event"":""named dish"",""information_type"":""ingredients and cooking instructions"",""style_layout"":""food-photography recipe poster""}",single,"[""template-recipe""]",[],[],0.055762,template-recipe,vir-s09,approved,core,,true,
vir-v2-anchor-vir-s10,marvel mbti character chart 16 types,en,medium,"[""manual_anchor""]","{""subject_event"":""MBTI types or MBTI-mapped character set"",""information_type"":""personality classification and behavior comparison"",""style_layout"":""labeled cartoon multi-character chart""}",single,"[""template-mbti-generic""]",[],[],0.057878,template-mbti-generic,vir-s10,approved,core,,true,
vir-v2-anchor-vir-s11,植物,zh,high,"[""manual_anchor""]","{""subject_event"":""single plant or animal species"",""information_type"":""scientific facts, anatomy, habitat, and conservation"",""style_layout"":""central-species modular science infographic""}",single,"[""template-species-science""]",[],[],0,template-education-card,vir-s11,approved,core,,true,
vir-v2-anchor-vir-s12,historical character,en,medium,"[""manual_anchor""]","{""subject_event"":""single famous or historical person"",""information_type"":""life principles, habits, and lessons"",""style_layout"":""portrait-led educational principles infographic""}",single,"[""template-figure-principles-infographic""]",[],[],0.033898,template-fandom-character-grid-poster,vir-s12,approved,core,,true,
vir-v2-anchor-vir-s13,香薰,zh,medium,"[""manual_anchor""]","{""subject_event"":""small home or lifestyle product"",""information_type"":""promotion and feature highlighting"",""style_layout"":""warm single-product advertising poster""}",single,"[""template-product-poster""]",[],[],0,template-education-card,vir-s13,approved,core,,true,
vir-v2-anchor-vir-s14,met gala,en,medium,"[""manual_anchor""]","{""subject_event"":""couture gown inspired by a theme"",""information_type"":""fashion concept development and annotation"",""style_layout"":""gown design sheet with technical sketch""}",single,"[""template-fashion-inspired-gown-design-sheet""]",[],[],0.015038,template-fashion-inspired-gown-design-sheet,vir-s14,approved,core,,true,
vir-v2-anchor-vir-s15,infj vs entp dating compatibility chart,en,low,"[""manual_anchor""]","{""subject_event"":""pair of MBTI personality types"",""information_type"":""relationship compatibility comparison"",""style_layout"":""cute dual-character comparison infographic""}",single,"[""template-mbti-personality-compatibility-infographic""]",[],[],0.097448,template-mbti-personality-compatibility-infographic,vir-s15,approved,core,,true,
vir-v2-core-vir-s01-05,帮我做一个 English-French daily routines 的插画单词卡组，labels 清楚一点。,mixed,low,"[""different_example"",""explicit_artifact""]","{""subject_event"":""language vocabulary on a chosen topic"",""information_type"":""bilingual vocabulary learning"",""style_layout"":""illustrated card grid or visual guide""}",single,"[""template-vocabulary""]",[],[],0.076923,template-vocabulary,vir-s01,auto_accepted,core,,true,
